transition_width,T_sw_delta_K,model,strategy,seed,finite_residual,state_residual_mse,stiffness_indicator,residual_median_proxy,uses_fourier_features,uses_continuation
3.0,2.0,vanilla_mlp,direct_stiff_residual,2027,True,0.006503620650619268,0.00693154102191329,0.013435161672532558,False,False
3.0,2.0,vanilla_mlp,direct_stiff_residual,2028,True,0.04125906899571419,0.006805014796555042,0.048064082860946655,False,False
3.0,2.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.012028388679027557,0.006946993991732597,0.012760944664478302,False,True
3.0,2.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.006503620650619268,0.00693154102191329,0.009035146795213223,False,True
3.0,2.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.04125906899571419,0.006805014796555042,0.032323095947504044,False,True
3.0,2.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.029096970334649086,0.007363583892583847,0.0348198302090168,True,False
3.0,2.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.021033957600593567,0.007583532016724348,0.0273297019302845,True,False
3.0,2.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.029363207519054413,0.007850686088204384,0.03553926572203636,True,False
3.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.029096970334649086,0.007363583892583847,0.023416336625814438,True,True
3.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.021033957600593567,0.007583532016724348,0.018379224464297295,True,True
3.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.029363207519054413,0.007850686088204384,0.02390015684068203,True,True
2.0,0.4,vanilla_mlp,direct_stiff_residual,2026,True,0.015557563863694668,0.015609117224812508,0.0311666801571846,False,False
2.0,0.4,vanilla_mlp,direct_stiff_residual,2027,True,0.004022522363811731,0.01560702919960022,0.019629551097750664,False,False
2.0,0.4,vanilla_mlp,direct_stiff_residual,2028,True,0.016418935731053352,0.015581385232508183,0.03200032189488411,False,False
2.0,0.4,vanilla_mlp,low_to_high_width_continuation,2026,True,0.015557563863694668,0.015609117224812508,0.02041417546570301,False,True
2.0,0.4,vanilla_mlp,low_to_high_width_continuation,2027,True,0.004022522363811731,0.01560702919960022,0.012857355177402496,False,True
2.0,0.4,vanilla_mlp,low_to_high_width_continuation,2028,True,0.016418935731053352,0.015581385232508183,0.020960209891200066,False,True
2.0,0.4,fourier_feature_mlp,direct_stiff_residual,2026,True,0.030337167903780937,0.015646368265151978,0.0432245247066021,True,False
2.0,0.4,fourier_feature_mlp,direct_stiff_residual,2027,True,0.02203233540058136,0.015659280121326447,0.035430118441581726,True,False
2.0,0.4,fourier_feature_mlp,direct_stiff_residual,2028,True,0.029345840215682983,0.015696590766310692,0.04233988747000694,True,False
2.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.030337167903780937,0.015646368265151978,0.028312062844634056,True,True
